"DATE","RATESAV65Q4","RATESAV66Q1","RATESAV66Q2","RATESAV66Q3","RATESAV66Q4","RATESAV67Q1","RATESAV67Q2","RATESAV67Q3","RATESAV67Q4","RATESAV68Q1","RATESAV68Q2","RATESAV68Q3","RATESAV68Q4","RATESAV69Q1","RATESAV69Q2","RATESAV69Q3","RATESAV69Q4","RATESAV70Q1","RATESAV70Q2","RATESAV70Q3","RATESAV70Q4","RATESAV71Q1","RATESAV71Q2","RATESAV71Q3","RATESAV71Q4","RATESAV72Q1","RATESAV72Q2","RATESAV72Q3","RATESAV72Q4","RATESAV73Q1","RATESAV73Q2","RATESAV73Q3","RATESAV73Q4","RATESAV74Q1","RATESAV74Q2","RATESAV74Q3","RATESAV74Q4","RATESAV75Q1","RATESAV75Q2","RATESAV75Q3","RATESAV75Q4","RATESAV76Q1","RATESAV76Q2","RATESAV76Q3","RATESAV76Q4","RATESAV77Q1","RATESAV77Q2","RATESAV77Q3","RATESAV77Q4","RATESAV78Q1","RATESAV78Q2","RATESAV78Q3","RATESAV78Q4","RATESAV79Q1","RATESAV79Q2","RATESAV79Q3","RATESAV79Q4","RATESAV80Q1","RATESAV80Q2","RATESAV80Q3","RATESAV80Q4","RATESAV81Q1","RATESAV81Q2","RATESAV81Q3","RATESAV81Q4","RATESAV82Q1","RATESAV82Q2","RATESAV82Q3","RATESAV82Q4","RATESAV83Q1","RATESAV83Q2","RATESAV83Q3","RATESAV83Q4","RATESAV84Q1","RATESAV84Q2","RATESAV84Q3","RATESAV84Q4","RATESAV85Q1","RATESAV85Q2","RATESAV85Q3","RATESAV85Q4","RATESAV86Q1","RATESAV86Q2","RATESAV86Q3","RATESAV86Q4","RATESAV87Q1","RATESAV87Q2","RATESAV87Q3","RATESAV87Q4","RATESAV88Q1","RATESAV88Q2","RATESAV88Q3","RATESAV88Q4","RATESAV89Q1","RATESAV89Q2","RATESAV89Q3","RATESAV89Q4","RATESAV90Q1","RATESAV90Q2","RATESAV90Q3","RATESAV90Q4","RATESAV91Q1","RATESAV91Q2","RATESAV91Q3","RATESAV91Q4","RATESAV92Q1","RATESAV92Q2","RATESAV92Q3","RATESAV92Q4","RATESAV93Q1","RATESAV93Q2","RATESAV93Q3","RATESAV93Q4","RATESAV94Q1","RATESAV94Q2","RATESAV94Q3","RATESAV94Q4","RATESAV95Q1","RATESAV95Q2","RATESAV95Q3","RATESAV95Q4","RATESAV96Q1","RATESAV96Q2","RATESAV96Q3","RATESAV96Q4","RATESAV97Q1","RATESAV97Q2","RATESAV97Q3","RATESAV97Q4","RATESAV98Q1","RATESAV98Q2","RATESAV98Q3","RATESAV98Q4","RATESAV99Q1","RATESAV99Q2","RATESAV99Q3","RATESAV99Q4","RATESAV00Q1","RATESAV00Q2","RATESAV00Q3","RATESAV00Q4","RATESAV01Q1","RATESAV01Q2","RATESAV01Q3","RATESAV01Q4","RATESAV02Q1","RATESAV02Q2","RATESAV02Q3","RATESAV02Q4","RATESAV03Q1","RATESAV03Q2","RATESAV03Q3","RATESAV03Q4","RATESAV04Q1","RATESAV04Q2","RATESAV04Q3","RATESAV04Q4","RATESAV05Q1","RATESAV05Q2","RATESAV05Q3","RATESAV05Q4","RATESAV06Q1","RATESAV06Q2","RATESAV06Q3","RATESAV06Q4","RATESAV07Q1","RATESAV07Q2","RATESAV07Q3","RATESAV07Q4","RATESAV08Q1","RATESAV08Q2","RATESAV08Q3","RATESAV08Q4","RATESAV09Q1","RATESAV09Q2","RATESAV09Q3","RATESAV09Q4","RATESAV10Q1","RATESAV10Q2","RATESAV10Q3","RATESAV10Q4","RATESAV11Q1","RATESAV11Q2","RATESAV11Q3","RATESAV11Q4","RATESAV12Q1","RATESAV12Q2","RATESAV12Q3","RATESAV12Q4","RATESAV13Q1","RATESAV13Q2","RATESAV13Q3","RATESAV13Q4","RATESAV14Q1","RATESAV14Q2","RATESAV14Q3","RATESAV14Q4","RATESAV15Q1","RATESAV15Q2"
"1966:Q3","#N/A","#N/A","#N/A","#N/A","4.6915","4.8247","4.8247","5.6987","5.6987","5.6987","5.6987","6.3834","6.3834","6.3834","6.3834","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.1252","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.4103","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.9292","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7685","6.7477","6.729","6.729","6.729","6.729","6.729","6.729","6.729","6.729","6.729","6.729","6.729","6.729","6.729","6.729","6.729","7.1933","7.1933","7.1933","7.1933","7.1933","7.3655","7.3655","7.3655","7.3655","7.3655","7.3655","7.3655","7.3655","7.3655","7.3655","#N/A","8.1524","8.1524","8.1524","8.1524","8.1524","8.1524","8.1524","8.1524","8.1524","8.1524","8.1524","8.1524","8.1524","8.1524","8.1524","8.1524","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","8.141","#N/A","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","10.942","10.942","10.942","10.942","10.942","10.942","10.942","10.942"
"1966:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","5.77","5.8642","6.6284","6.6284","6.6284","6.6284","7.2516","7.2516","7.2516","7.2516","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.1728","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.0105","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.5185","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.3573","7.5641","7.5458","7.5458","7.5458","7.5458","7.5458","7.5458","7.5458","7.5458","7.5458","7.5458","7.5458","7.5458","7.5458","7.5458","7.5458","7.9964","7.9964","7.9964","7.9964","7.9964","8.1636","8.1636","8.1636","8.1636","8.1636","8.1636","8.1636","8.1636","8.1636","8.1636","#N/A","8.8432","8.8432","8.8432","8.8432","8.8432","8.8432","8.8432","8.8432","8.8432","8.8432","8.8432","8.8432","8.8432","8.8432","8.8432","8.8432","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","8.783","#N/A","8.7665","8.7665","8.7665","8.7665","8.7665","8.7665","8.7665","8.7665","8.7665","8.7665","8.7665","8.7665","8.7665","8.7665","8.7665","11.5756","11.5756","11.5756","11.5756","11.5756","11.5756","11.5756","11.5756"
"1967:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","6.1448","7.2836","7.2836","7.2836","7.2836","7.4317","7.4317","7.4317","7.4317","7.485","7.485","7.485","7.485","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.3678","7.594","7.594","7.594","7.594","7.594","7.594","7.594","7.594","7.594","7.594","7.594","7.594","7.594","7.594","7.594","7.594","7.594","7.594","7.594","7.594","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1263","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1056","8.1622","8.1622","8.1622","8.1622","8.1622","8.1622","8.1622","8.1622","8.1622","8.1622","8.1622","8.1622","8.1622","8.1622","8.1622","8.1622","8.6513","8.6513","8.6513","8.6513","8.6513","8.9123","8.9123","8.9123","8.9123","8.9123","8.9123","8.9123","8.9123","8.9123","8.9123","#N/A","9.5492","9.5492","9.5492","9.5492","9.5492","9.5492","9.5492","9.5492","9.5492","9.5492","9.5492","9.5492","9.5492","9.5492","9.5492","9.5492","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","9.5873","#N/A","9.5552","9.5552","9.5552","9.5552","9.5552","9.5552","9.5552","9.5552","9.5552","9.5552","9.5552","9.5552","9.5552","9.5552","9.5552","12.3555","12.3555","12.3555","12.3555","12.3555","12.3555","12.3555","12.3555"
"1967:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","6.8678","6.6667","6.6667","6.6667","6.8329","6.8329","6.8329","6.8329","6.9609","6.9609","6.9609","6.9609","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","6.9462","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.1693","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7334","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.7351","7.6568","7.639","7.639","7.639","7.639","7.639","7.639","7.639","7.639","7.639","7.639","7.639","7.639","7.639","7.639","7.639","8.1434","8.1434","8.1434","8.1434","8.1434","8.3377","8.3377","8.3377","8.3377","8.3377","8.3377","8.3377","8.3377","8.3377","8.3377","#N/A","8.9762","8.9762","8.9762","8.9762","8.9762","8.9762","8.9762","8.9762","8.9762","8.9762","8.9762","8.9762","8.9762","8.9762","8.9762","8.9762","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","9.0606","#N/A","9.0126","9.0126","9.0126","9.0126","9.0126","9.0126","9.0126","9.0126","9.0126","9.0126","9.0126","9.0126","9.0126","9.0126","9.0126","11.7777","11.7777","11.7777","11.7777","11.7777","11.7777","11.7777","11.7777"
"1967:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","6.8991","7.023","7.023","7.3636","7.3636","7.3636","7.3636","7.396","7.396","7.396","7.396","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4995","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","7.4918","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0978","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0819","8.0921","8.0921","8.0921","8.0921","8.0921","8.0921","8.0921","8.0921","8.0921","8.0921","8.0921","8.0921","8.0921","8.0921","8.0921","8.0921","8.5833","8.5833","8.5833","8.5833","8.5833","8.7416","8.7416","8.7416","8.7416","8.7416","8.7416","8.7416","8.7416","8.7416","8.7416","#N/A","9.4148","9.4148","9.4148","9.4148","9.4148","9.4148","9.4148","9.4148","9.4148","9.4148","9.4148","9.4148","9.4148","9.4148","9.4148","9.4148","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","9.5296","#N/A","9.4828","9.4828","9.4828","9.4828","9.4828","9.4828","9.4828","9.4828","9.4828","9.4828","9.4828","9.4828","9.4828","9.4828","9.4828","12.2469","12.2469","12.2469","12.2469","12.2469","12.2469","12.2469","12.2469"
"1967:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","7.4619","7.4565","7.7555","7.7555","7.7555","7.7555","7.6992","7.6992","7.6992","7.6992","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.7335","7.764","7.764","7.764","7.764","7.764","7.764","7.764","7.764","7.764","7.764","7.764","7.764","7.764","7.764","7.764","7.764","7.764","7.764","7.764","7.764","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.3734","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.203","8.349","8.3319","8.3319","8.3319","8.3319","8.3319","8.3319","8.3319","8.3319","8.3319","8.3319","8.3319","8.3319","8.3319","8.3319","8.3319","8.7995","8.7995","8.7995","8.7995","8.7995","8.8305","8.8305","8.8305","8.8305","8.8305","8.8305","8.8305","8.8305","8.8305","8.8305","#N/A","9.5069","9.5069","9.5069","9.5069","9.5069","9.5069","9.5069","9.5069","9.5069","9.5069","9.5069","9.5069","9.5069","9.5069","9.5069","9.5069","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","9.6692","#N/A","9.6062","9.6062","9.6062","9.6062","9.6062","9.6062","9.6062","9.6062","9.6062","9.6062","9.6062","9.6062","9.6062","9.6062","9.6062","12.3518","12.3518","12.3518","12.3518","12.3518","12.3518","12.3518","12.3518"
"1968:Q1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","6.8393","7.1031","7.1031","7.1031","7.1031","6.9391","6.9391","6.9391","6.9391","7.0969","7.0969","7.0969","7.0969","7.1652","7.1652","7.1652","7.1652","7.1652","7.1652","7.1652","7.1652","7.1652","7.1652","7.1652","7.1652","7.1652","7.1652","7.1652","7.1652","7.1652","7.1652","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.1479","7.711","7.711","7.711","7.711","7.711","7.711","7.711","7.711","7.711","7.711","7.711","7.711","7.711","7.711","7.711","7.711","7.711","7.711","7.711","7.711","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.6104","7.7103","7.6936","7.6936","7.6936","7.6936","7.6936","7.6936","7.6936","7.6936","7.6936","7.6936","7.6936","7.6936","7.6936","7.6936","7.6936","8.1467","8.1467","8.1467","8.1467","8.1467","8.3002","8.3002","8.3002","8.3002","8.3002","8.3002","8.3002","8.3002","8.3002","8.3002","#N/A","9.028","9.028","9.028","9.028","9.028","9.028","9.028","9.028","9.028","9.028","9.028","9.028","9.028","9.028","9.028","9.028","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","9.1224","#N/A","9.0624","9.0624","9.0624","9.0624","9.0624","9.0624","9.0624","9.0624","9.0624","9.0624","9.0624","9.0624","9.0624","9.0624","9.0624","11.809","11.809","11.809","11.809","11.809","11.809","11.809","11.809"
"1968:Q2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","7.6739","7.5047","7.5047","7.5047","7.2012","7.2012","7.2012","7.2012","7.5799","7.5799","7.5799","7.5799","7.5812","7.5812","7.5812","7.5812","7.5812","7.5812","7.5812","7.5812","7.5812","7.5812","7.5812","7.5812","7.5812","7.5812","7.5812","7.5812","7.5812","7.5812","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.4706","7.868","7.868","7.868","7.868","7.868","7.868","7.868","7.868","7.868","7.868","7.868","7.868","7.868","7.868","7.868","7.868","7.868","7.868","7.868","7.868","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.786","7.8336","7.8336","7.8336","7.8336","7.8336","7.8336","7.8336","7.8336","7.8336","7.8336","7.8336","7.8336","7.8336","7.8336","7.8336","7.8336","8.2579","8.2579","8.2579","8.2579","8.2579","8.4341","8.4341","8.4341","8.4341","8.4341","8.4341","8.4341","8.4341","8.4341","8.4341","#N/A","9.158","9.158","9.158","9.158","9.158","9.158","9.158","9.158","9.158","9.158","9.158","9.158","9.158","9.158","9.158","9.158","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","9.2209","#N/A","9.1625","9.1625","9.1625","9.1625","9.1625","9.1625","9.1625","9.1625","9.1625","9.1625","9.1625","9.1625","9.1625","9.1625","9.1625","11.9207","11.9207","11.9207","11.9207","11.9207","11.9207","11.9207","11.9207"
"1968:Q3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","6.2099","6.2595","6.2595","5.5949","5.5949","5.5949","5.5949","6.1283","6.1283","6.1283","6.1283","6.0316","6.0316","6.0316","6.0316","6.0316","6.0316","6.0316","6.0316","6.0316","6.0316","6.0316","6.0316","6.0316","6.0316","6.0316","6.0316","6.0316","6.0316","5.639","5.639","5.639","5.639","5.639","5.639","5.639","5.639","5.639","5.639","5.639","5.639","5.639","5.639","5.639","5.639","5.639","5.639","5.639","5.639","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.2699","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.1533","6.2972","6.2811","6.2811","6.2811","6.2811","6.2811","6.2811","6.2811","6.2811","6.2811","6.2811","6.2811","6.2811","6.2811","6.2811","6.2811","6.7071","6.7071","6.7071","6.7071","6.7071","6.9301","6.9301","6.9301","6.9301","6.9301","6.9301","6.9301","6.9301","6.9301","6.9301","#N/A","7.6485","7.6485","7.6485","7.6485","7.6485","7.6485","7.6485","7.6485","7.6485","7.6485","7.6485","7.6485","7.6485","7.6485","7.6485","7.6485","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","7.6642","#N/A","7.6215","7.6215","7.6215","7.6215","7.6215","7.6215","7.6215","7.6215","7.6215","7.6215","7.6215","7.6215","7.6215","7.6215","7.6215","10.4606","10.4606","10.4606","10.4606","10.4606","10.4606","10.4606","10.4606"
"1968:Q4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","6.8714","6.7895","6.2883","6.2883","6.2883","6.2883","6.5347","6.5347","6.5347","6.5347","6.1602","6.1602","6.1602","6.1602","6.1602","6.1602","6.1602","6.1602","6.1602","6.1602","6.1602","6.1602","6.1602","6.1602","6.1602","6.1602","6.1602","6.1602","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","5.6654","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.4882","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.366","6.6393","6.6236","6.6236","6.6236","6.6236","6.6236","6.6236","6.6236","6.6236","6.6236","6.6236","6.6236","6.6236","6.6236","6.6236","6.6236","7.0387","7.0387","7.0387","7.0387","7.0387","7.1261","7.1261","7.1261","7.1261","7.1261","7.1261","7.1261","7.1261","7.1261","7.1261","#N/A","7.8407","7.8407","7.8407","7.8407","7.8407","7.8407","7.8407","7.8407","7.8407","7.8407","7.8407","7.8407","7.8407","7.8407","7.8407","7.8407","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","7.8278","#N/A","7.7847","7.7847","7.7847","7.7847","7.7847","7.7847","7.7847","7.7847","7.7847","7.7847","7.7847","7.7847","7.7847","7.7847","7.7847","10.6386","10.6386","10.6386","10.6386","10.6386","10.6386","10.6386","10.6386"
