"DATE","EMPLOY90M1","EMPLOY90M2","EMPLOY90M3","EMPLOY90M4","EMPLOY90M5","EMPLOY90M6","EMPLOY90M7","EMPLOY90M8","EMPLOY90M9","EMPLOY90M10","EMPLOY90M11","EMPLOY90M12","EMPLOY91M1","EMPLOY91M2","EMPLOY91M3","EMPLOY91M4","EMPLOY91M5","EMPLOY91M6","EMPLOY91M7","EMPLOY91M8","EMPLOY91M9","EMPLOY91M10","EMPLOY91M11","EMPLOY91M12","EMPLOY92M1","EMPLOY92M2","EMPLOY92M3","EMPLOY92M4","EMPLOY92M5","EMPLOY92M6","EMPLOY92M7","EMPLOY92M8","EMPLOY92M9","EMPLOY92M10","EMPLOY92M11","EMPLOY92M12","EMPLOY93M1","EMPLOY93M2","EMPLOY93M3","EMPLOY93M4","EMPLOY93M5","EMPLOY93M6","EMPLOY93M7","EMPLOY93M8","EMPLOY93M9","EMPLOY93M10","EMPLOY93M11","EMPLOY93M12","EMPLOY94M1","EMPLOY94M2","EMPLOY94M3","EMPLOY94M4","EMPLOY94M5","EMPLOY94M6","EMPLOY94M7","EMPLOY94M8","EMPLOY94M9","EMPLOY94M10","EMPLOY94M11","EMPLOY94M12","EMPLOY95M1","EMPLOY95M2","EMPLOY95M3","EMPLOY95M4","EMPLOY95M5","EMPLOY95M6","EMPLOY95M7","EMPLOY95M8","EMPLOY95M9","EMPLOY95M10","EMPLOY95M11","EMPLOY95M12","EMPLOY96M1","EMPLOY96M2","EMPLOY96M3","EMPLOY96M4","EMPLOY96M5","EMPLOY96M6","EMPLOY96M7","EMPLOY96M8","EMPLOY96M9","EMPLOY96M10","EMPLOY96M11","EMPLOY96M12","EMPLOY97M1","EMPLOY97M2","EMPLOY97M3","EMPLOY97M4","EMPLOY97M5","EMPLOY97M6","EMPLOY97M7","EMPLOY97M8","EMPLOY97M9","EMPLOY97M10","EMPLOY97M11","EMPLOY97M12","EMPLOY98M1","EMPLOY98M2","EMPLOY98M3","EMPLOY98M4","EMPLOY98M5","EMPLOY98M6","EMPLOY98M7","EMPLOY98M8","EMPLOY98M9","EMPLOY98M10","EMPLOY98M11","EMPLOY98M12","EMPLOY99M1","EMPLOY99M2","EMPLOY99M3","EMPLOY99M4","EMPLOY99M5","EMPLOY99M6","EMPLOY99M7","EMPLOY99M8","EMPLOY99M9","EMPLOY99M10","EMPLOY99M11","EMPLOY99M12"
"1954:11","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49102.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0","49103.0"
"1954:12","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49242.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0","49234.0"
"1955:01","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49363.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0","49354.0"
"1955:02","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0","49523.0"
"1955:03","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49867.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0","49851.0"
"1955:04","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50106.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0","50104.0"
"1955:05","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50414.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0","50404.0"
"1955:06","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50705.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0","50693.0"
"1955:07","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50823.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0","50811.0"
"1955:08","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50905.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0","50929.0"
"1955:09","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51085.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0","51103.0"
"1955:10","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51308.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0","51323.0"
"1955:11","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51491.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0","51507.0"
"1955:12","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51721.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0","51714.0"
"1956:01","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51880.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0","51863.0"
"1956:02","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52096.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0","52093.0"
"1956:03","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52141.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0","52228.0"
