"DATE","ROUTPUT70M1","ROUTPUT70M2","ROUTPUT70M3","ROUTPUT70M4","ROUTPUT70M5","ROUTPUT70M6","ROUTPUT70M7","ROUTPUT70M8","ROUTPUT70M9","ROUTPUT70M10","ROUTPUT70M11","ROUTPUT70M12","ROUTPUT71M1","ROUTPUT71M2","ROUTPUT71M3","ROUTPUT71M4","ROUTPUT71M5","ROUTPUT71M6","ROUTPUT71M7","ROUTPUT71M8","ROUTPUT71M9","ROUTPUT71M10","ROUTPUT71M11","ROUTPUT71M12","ROUTPUT72M1","ROUTPUT72M2","ROUTPUT72M3","ROUTPUT72M4","ROUTPUT72M5","ROUTPUT72M6","ROUTPUT72M7","ROUTPUT72M8","ROUTPUT72M9","ROUTPUT72M10","ROUTPUT72M11","ROUTPUT72M12","ROUTPUT73M1","ROUTPUT73M2","ROUTPUT73M3","ROUTPUT73M4","ROUTPUT73M5","ROUTPUT73M6","ROUTPUT73M7","ROUTPUT73M8","ROUTPUT73M9","ROUTPUT73M10","ROUTPUT73M11","ROUTPUT73M12","ROUTPUT74M1","ROUTPUT74M2","ROUTPUT74M3","ROUTPUT74M4","ROUTPUT74M5","ROUTPUT74M6","ROUTPUT74M7","ROUTPUT74M8","ROUTPUT74M9","ROUTPUT74M10","ROUTPUT74M11","ROUTPUT74M12","ROUTPUT75M1","ROUTPUT75M2","ROUTPUT75M3","ROUTPUT75M4","ROUTPUT75M5","ROUTPUT75M6","ROUTPUT75M7","ROUTPUT75M8","ROUTPUT75M9","ROUTPUT75M10","ROUTPUT75M11","ROUTPUT75M12","ROUTPUT76M1","ROUTPUT76M2","ROUTPUT76M3","ROUTPUT76M4","ROUTPUT76M5","ROUTPUT76M6","ROUTPUT76M7","ROUTPUT76M8","ROUTPUT76M9","ROUTPUT76M10","ROUTPUT76M11","ROUTPUT76M12","ROUTPUT77M1","ROUTPUT77M2","ROUTPUT77M3","ROUTPUT77M4","ROUTPUT77M5","ROUTPUT77M6","ROUTPUT77M7","ROUTPUT77M8","ROUTPUT77M9","ROUTPUT77M10","ROUTPUT77M11","ROUTPUT77M12","ROUTPUT78M1","ROUTPUT78M2","ROUTPUT78M3","ROUTPUT78M4","ROUTPUT78M5","ROUTPUT78M6","ROUTPUT78M7","ROUTPUT78M8","ROUTPUT78M9","ROUTPUT78M10","ROUTPUT78M11","ROUTPUT78M12","ROUTPUT79M1","ROUTPUT79M2","ROUTPUT79M3","ROUTPUT79M4","ROUTPUT79M5","ROUTPUT79M6","ROUTPUT79M7","ROUTPUT79M8","ROUTPUT79M9","ROUTPUT79M10","ROUTPUT79M11","ROUTPUT79M12"
"1952:Q4","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","405.3","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5","612.5"
"1953:Q1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","412.1","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2","622.2"
"1953:Q2","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","416.4","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2","626.2"
"1953:Q3","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","413.7","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4","622.4"
"1953:Q4","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","408.8","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4","616.4"
"1954:Q1","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","402.9","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1","608.1"
"1954:Q2","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","402.1","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6","605.6"
"1954:Q3","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","407.2","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4","614.4"
"1954:Q4","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","415.7","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1","626.1"
"1955:Q1","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","428.0","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1","641.1"
"1955:Q2","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","435.4","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8","650.8"
"1955:Q3","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","442.1","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3","660.3"
"1955:Q4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","446.4","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0","667.0"
"1956:Q1","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","443.6","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1","664.1"
"1956:Q2","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","445.6","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5","667.5"
"1956:Q3","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","444.5","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9","667.9"
"1956:Q4","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","450.3","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7","675.7"
"1957:Q1","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","453.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4","680.4"
"1957:Q2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","453.2","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9","680.9"
"1957:Q3","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","455.2","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6","685.6"
"1957:Q4","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","448.2","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7","676.7"
"1958:Q1","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","437.5","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4","663.4"
