"DATE","H00M1","H00M2","H00M3","H00M4","H00M5","H00M6","H00M7","H00M8","H00M9","H00M10","H00M11","H00M12","H01M1","H01M2","H01M3","H01M4","H01M5","H01M6","H01M7","H01M8","H01M9","H01M10","H01M11","H01M12","H02M1","H02M2","H02M3","H02M4","H02M5","H02M6","H02M7","H02M8","H02M9","H02M10","H02M11","H02M12","H03M1","H03M2","H03M3","H03M4","H03M5","H03M6","H03M7","H03M8","H03M9","H03M10","H03M11","H03M12","H04M1","H04M2","H04M3","H04M4","H04M5","H04M6","H04M7","H04M8","H04M9","H04M10","H04M11","H04M12","H05M1","H05M2","H05M3","H05M4","H05M5","H05M6","H05M7","H05M8","H05M9","H05M10","H05M11","H05M12","H06M1","H06M2","H06M3","H06M4","H06M5","H06M6","H06M7","H06M8","H06M9","H06M10","H06M11","H06M12","H07M1","H07M2","H07M3","H07M4","H07M5","H07M6","H07M7","H07M8","H07M9","H07M10","H07M11","H07M12","H08M1","H08M2","H08M3","H08M4","H08M5","H08M6","H08M7","H08M8","H08M9","H08M10","H08M11","H08M12","H09M1","H09M2","H09M3","H09M4","H09M5","H09M6","H09M7","H09M8","H09M9","H09M10","H09M11","H09M12"
"2000:06","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","151.2","151.2","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.4","151.4","151.4","151.4","151.4","151.4","151.3","151.3","151.3","151.3","151.3","151.3","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5"
"2000:07","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","151.3","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.6","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7"
"2000:08","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","150.9","151.0","150.9","150.9","150.9","150.9","150.9","150.9","150.9","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","151.3","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4","103.4"
"2000:09","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.4","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.5","151.5","151.5","151.5","151.5","151.5","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.5","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6","103.6"
"2000:10","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","151.5","151.8","151.6","151.6","151.6","151.6","151.6","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.9","151.9","151.9","151.9","151.9","151.9","151.8","151.8","151.8","151.8","151.8","151.8","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9","103.9"
"2000:11","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","151.6","151.5","151.5","151.5","151.5","151.5","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.8","151.9","151.9","151.9","151.9","151.9","151.9","151.8","151.8","151.8","151.8","151.8","151.8","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7"
"2000:12","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","150.5","150.5","150.6","150.6","150.6","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.1","151.1","151.1","151.1","151.1","151.1","150.9","150.9","150.9","150.9","150.9","150.9","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2"
"2001:01","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","151.8","151.8","151.9","151.9","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.2","152.0","152.0","152.0","152.0","152.0","152.0","151.8","151.8","151.8","151.8","151.8","151.8","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7","103.7"
"2001:02","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","151.0","151.3","151.3","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.7","151.3","151.3","151.3","151.3","151.3","151.3","151.1","151.1","151.1","151.1","151.1","151.1","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.1","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0","103.0"
"2001:03","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","151.4","151.7","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","152.0","151.3","151.3","151.3","151.3","151.3","151.3","151.1","151.1","151.1","151.1","151.1","151.1","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.2","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3","103.3"
"2001:04","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","151.3","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.0","151.0","151.0","151.0","151.0","151.0","150.9","150.9","150.9","150.9","150.9","150.9","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7"
"2001:05","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.5","151.0","151.0","151.0","151.0","151.0","151.0","150.8","150.8","150.8","150.8","150.8","150.8","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.7","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6","102.6"
"2001:06","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","151.2","150.6","150.6","150.6","150.6","150.6","150.6","150.5","150.5","150.5","150.5","150.5","150.5","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4","102.4"
"2001:07","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","151.0","150.7","150.8","150.8","150.8","150.8","150.8","150.8","150.8","150.8","150.4","150.4","150.4","150.4","150.4","150.4","150.2","150.2","150.2","150.2","150.2","150.2","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3","102.3"
"2001:08","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","150.1","150.1","150.1","150.1","150.1","150.1","150.1","150.1","150.1","149.9","149.9","149.9","149.9","149.9","149.9","149.7","149.7","149.7","149.7","149.7","149.7","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.9","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8","101.8"
"2001:09","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","149.7","149.9","149.9","149.9","149.9","149.9","149.9","149.9","149.6","149.6","149.6","149.6","149.6","149.6","149.4","149.4","149.4","149.4","149.4","149.4","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.3","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2","101.2"
"2001:10","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","148.8","148.8","148.9","148.9","148.9","148.9","148.9","148.7","148.7","148.7","148.7","148.7","148.7","148.5","148.5","148.5","148.5","148.5","148.5","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6"
"2001:11","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","148.7","148.7","148.7","148.7","148.7","148.7","148.2","148.2","148.2","148.2","148.2","148.2","148.1","148.1","148.1","148.1","148.1","148.1","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5"
"2001:12","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","148.7","148.7","148.8","148.8","148.8","148.3","148.3","148.3","148.3","148.3","148.3","148.1","148.1","148.1","148.1","148.1","148.1","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7","100.7"
"2002:01","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","148.1","148.3","148.4","148.4","148.1","148.1","148.1","148.1","148.1","148.1","148.0","148.0","148.0","148.0","148.0","148.0","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3"
"2002:02","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","148.5","148.7","148.6","148.3","148.3","148.3","148.3","148.3","148.3","148.1","148.1","148.1","148.1","148.1","148.1","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3"
"2002:03","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","148.8","148.8","148.2","148.2","148.2","148.2","148.2","148.2","148.0","148.0","148.0","148.0","148.0","148.0","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.6","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5","100.5"
"2002:04","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","148.5","148.3","148.1","148.1","148.1","148.1","148.1","148.0","148.0","148.0","148.0","148.0","148.0","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.3","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4"
"2002:05","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","148.2","148.2","148.1","148.1","148.1","148.1","148.0","148.0","148.0","148.0","148.0","148.0","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","99.9","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2","100.2"
"2002:06","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","148.6","148.6","148.6","148.6","148.6","148.4","148.4","148.4","148.4","148.4","148.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.4","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1","100.1"
"2002:07","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","147.7","147.5","147.5","147.5","147.4","147.4","147.4","147.4","147.4","147.4","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.7","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6"
