"DATE","IPM70M1","IPM70M2","IPM70M3","IPM70M4","IPM70M5","IPM70M6","IPM70M7","IPM70M8","IPM70M9","IPM70M10","IPM70M11","IPM70M12","IPM71M1","IPM71M2","IPM71M3","IPM71M4","IPM71M5","IPM71M6","IPM71M7","IPM71M8","IPM71M9","IPM71M10","IPM71M11","IPM71M12","IPM72M1","IPM72M2","IPM72M3","IPM72M4","IPM72M5","IPM72M6","IPM72M7","IPM72M8","IPM72M9","IPM72M10","IPM72M11","IPM72M12","IPM73M1","IPM73M2","IPM73M3","IPM73M4","IPM73M5","IPM73M6","IPM73M7","IPM73M8","IPM73M9","IPM73M10","IPM73M11","IPM73M12","IPM74M1","IPM74M2","IPM74M3","IPM74M4","IPM74M5","IPM74M6","IPM74M7","IPM74M8","IPM74M9","IPM74M10","IPM74M11","IPM74M12","IPM75M1","IPM75M2","IPM75M3","IPM75M4","IPM75M5","IPM75M6","IPM75M7","IPM75M8","IPM75M9","IPM75M10","IPM75M11","IPM75M12","IPM76M1","IPM76M2","IPM76M3","IPM76M4","IPM76M5","IPM76M6","IPM76M7","IPM76M8","IPM76M9","IPM76M10","IPM76M11","IPM76M12","IPM77M1","IPM77M2","IPM77M3","IPM77M4","IPM77M5","IPM77M6","IPM77M7","IPM77M8","IPM77M9","IPM77M10","IPM77M11","IPM77M12","IPM78M1","IPM78M2","IPM78M3","IPM78M4","IPM78M5","IPM78M6","IPM78M7","IPM78M8","IPM78M9","IPM78M10","IPM78M11","IPM78M12","IPM79M1","IPM79M2","IPM79M3","IPM79M4","IPM79M5","IPM79M6","IPM79M7","IPM79M8","IPM79M9","IPM79M10","IPM79M11","IPM79M12"
"1958:06","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","#N/A","#N/A","#N/A","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9","55.9"
"1958:07","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","#N/A","#N/A","#N/A","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4","56.4"
"1958:08","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","#N/A","#N/A","#N/A","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6","57.6"
"1958:09","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","#N/A","#N/A","#N/A","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1","58.1"
"1958:10","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","#N/A","#N/A","#N/A","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4","58.4"
"1958:11","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","#N/A","#N/A","#N/A","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6","60.6"
"1958:12","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","#N/A","#N/A","#N/A","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8","60.8"
"1959:01","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","#N/A","#N/A","#N/A","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8"
"1959:02","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","#N/A","#N/A","#N/A","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0","63.0"
"1959:03","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","#N/A","#N/A","#N/A","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0","64.0"
"1959:04","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","#N/A","#N/A","#N/A","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3","65.3"
"1959:05","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","#N/A","#N/A","#N/A","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2","66.2"
"1959:06","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","#N/A","#N/A","#N/A","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3","66.3"
"1959:07","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","#N/A","#N/A","#N/A","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1","65.1"
"1959:08","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","#N/A","#N/A","#N/A","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5","62.5"
"1959:09","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","#N/A","#N/A","#N/A","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4","62.4"
"1959:10","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","#N/A","#N/A","#N/A","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8","61.8"
"1959:11","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","#N/A","#N/A","#N/A","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3","62.3"
"1959:12","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","#N/A","#N/A","#N/A","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5"
"1960:01","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","#N/A","#N/A","#N/A","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4","68.4"
"1960:02","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","#N/A","#N/A","#N/A","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8","67.8"
"1960:03","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","#N/A","#N/A","#N/A","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0","67.0"
"1960:04","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","66.4","66.4","66.4","66.4","66.4","66.4","66.4","66.4","66.4","66.4","66.4","#N/A","#N/A","#N/A","66.4","66.4","66.4","66.4","66.4","66.4","66.4","66.4","66.4","66.4","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5","66.5"
