"DATE","HSTARTS80M1","HSTARTS80M2","HSTARTS80M3","HSTARTS80M4","HSTARTS80M5","HSTARTS80M6","HSTARTS80M7","HSTARTS80M8","HSTARTS80M9","HSTARTS80M10","HSTARTS80M11","HSTARTS80M12","HSTARTS81M1","HSTARTS81M2","HSTARTS81M3","HSTARTS81M4","HSTARTS81M5","HSTARTS81M6","HSTARTS81M7","HSTARTS81M8","HSTARTS81M9","HSTARTS81M10","HSTARTS81M11","HSTARTS81M12","HSTARTS82M1","HSTARTS82M2","HSTARTS82M3","HSTARTS82M4","HSTARTS82M5","HSTARTS82M6","HSTARTS82M7","HSTARTS82M8","HSTARTS82M9","HSTARTS82M10","HSTARTS82M11","HSTARTS82M12","HSTARTS83M1","HSTARTS83M2","HSTARTS83M3","HSTARTS83M4","HSTARTS83M5","HSTARTS83M6","HSTARTS83M7","HSTARTS83M8","HSTARTS83M9","HSTARTS83M10","HSTARTS83M11","HSTARTS83M12","HSTARTS84M1","HSTARTS84M2","HSTARTS84M3","HSTARTS84M4","HSTARTS84M5","HSTARTS84M6","HSTARTS84M7","HSTARTS84M8","HSTARTS84M9","HSTARTS84M10","HSTARTS84M11","HSTARTS84M12","HSTARTS85M1","HSTARTS85M2","HSTARTS85M3","HSTARTS85M4","HSTARTS85M5","HSTARTS85M6","HSTARTS85M7","HSTARTS85M8","HSTARTS85M9","HSTARTS85M10","HSTARTS85M11","HSTARTS85M12","HSTARTS86M1","HSTARTS86M2","HSTARTS86M3","HSTARTS86M4","HSTARTS86M5","HSTARTS86M6","HSTARTS86M7","HSTARTS86M8","HSTARTS86M9","HSTARTS86M10","HSTARTS86M11","HSTARTS86M12","HSTARTS87M1","HSTARTS87M2","HSTARTS87M3","HSTARTS87M4","HSTARTS87M5","HSTARTS87M6","HSTARTS87M7","HSTARTS87M8","HSTARTS87M9","HSTARTS87M10","HSTARTS87M11","HSTARTS87M12","HSTARTS88M1","HSTARTS88M2","HSTARTS88M3","HSTARTS88M4","HSTARTS88M5","HSTARTS88M6","HSTARTS88M7","HSTARTS88M8","HSTARTS88M9","HSTARTS88M10","HSTARTS88M11","HSTARTS88M12","HSTARTS89M1","HSTARTS89M2","HSTARTS89M3","HSTARTS89M4","HSTARTS89M5","HSTARTS89M6","HSTARTS89M7","HSTARTS89M8","HSTARTS89M9","HSTARTS89M10","HSTARTS89M11","HSTARTS89M12"
"1947:11","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0","1557.0"
"1947:12","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0","1447.0"
"1948:01","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0","1385.0"
"1948:02","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0","1200.0"
"1948:03","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0","1379.0"
"1948:04","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0","1501.0"
"1948:05","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0","1450.0"
"1948:06","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0","1441.0"
"1948:07","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0","1419.0"
"1948:08","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0","1329.0"
"1948:09","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0","1303.0"
"1948:10","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0","1190.0"
"1948:11","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0"
"1948:12","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0","1218.0"
"1949:01","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0","1196.0"
"1949:02","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0","1137.0"
"1949:03","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0","1171.0"
"1949:04","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0","1292.0"
"1949:05","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0","1319.0"
"1949:06","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0","1341.0"
"1949:07","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0","1384.0"
